Subject,Session,Task,Run,Voxels_fmriprep24,Coverage_fmriprep24,Voxels_fmriprep25,Coverage_fmriprep25,Difference_Voxels,Difference_Coverage
sub-10317,ses-01,doors,1,86772,37.9700,91716,40.1400,4944,2.1700
sub-10317,ses-01,socialdoors,1,86667,37.9300,91719,40.1400,5052,2.2100
sub-10369,ses-01,doors,1,86288,37.7600,91237,39.9300,4949,2.1700
sub-10369,ses-01,socialdoors,1,85906,37.5900,90794,39.7300,4888,2.1400
sub-10402,ses-01,doors,1,86924,38.0400,88499,38.7300,1575,.6900
sub-10402,ses-01,socialdoors,1,84191,36.8400,88473,38.7200,4282,1.8800
sub-10418,ses-01,doors,1,91113,39.8700,95635,41.8500,4522,1.9800
sub-10418,ses-01,socialdoors,1,91582,40.0800,95754,41.9000,4172,1.8200
sub-10462,ses-01,doors,1,91356,39.9800,95955,41.9900,4599,2.0100
sub-10462,ses-01,socialdoors,1,90992,39.8200,95595,41.8300,4603,2.0100
sub-10478,ses-01,doors,1,87840,38.4400,93413,40.8800,5573,2.4400
sub-10478,ses-01,socialdoors,1,88231,38.6100,93722,41.0100,5491,2.4000
sub-10486,ses-01,doors,1,85506,37.4200,91304,39.9600,5798,2.5400
sub-10486,ses-01,socialdoors,1,85731,37.5200,91052,39.8500,5321,2.3300
sub-10529,ses-01,doors,1,87724,38.3900,92729,40.5800,5005,2.1900
sub-10529,ses-01,socialdoors,1,87742,38.4000,92961,40.6800,5219,2.2800
sub-10541,ses-01,doors,1,86243,37.7400,91562,40.0700,5319,2.3300
sub-10541,ses-01,socialdoors,1,86328,37.7800,91561,40.0700,5233,2.2900
sub-10559,ses-01,doors,1,82504,36.1000,87318,38.2100,4814,2.1100
sub-10559,ses-01,socialdoors,1,82484,36.1000,87606,38.3400,5122,2.2400
sub-10572,ses-01,doors,1,85455,37.4000,92316,40.4000,6861,3.0000
sub-10572,ses-01,socialdoors,1,85881,37.5800,92523,40.4900,6642,2.9100
sub-10581,ses-01,doors,1,85250,37.3100,91805,40.1800,6555,2.8700
sub-10581,ses-01,socialdoors,1,86260,37.7500,92133,40.3200,5873,2.5700
sub-10584,ses-01,doors,1,86860,38.0100,93999,41.1400,7139,3.1300
sub-10584,ses-01,socialdoors,1,87722,38.3900,94200,41.2200,6478,2.8300
sub-10585,ses-01,doors,1,90988,39.8200,96517,42.2400,5529,2.4200
sub-10585,ses-01,socialdoors,1,90909,39.7800,96762,42.3400,5853,2.5600
sub-10589,ses-01,doors,1,84246,36.8700,90278,39.5100,6032,2.6400
sub-10589,ses-01,socialdoors,1,85263,37.3100,90344,39.5400,5081,2.2300
sub-10590,ses-01,doors,1,87528,38.3000,92608,40.5300,5080,2.2300
sub-10590,ses-01,socialdoors,1,87292,38.2000,92331,40.4100,5039,2.2100
sub-10596,ses-01,doors,1,84948,37.1700,91305,39.9600,6357,2.7900
sub-10596,ses-01,socialdoors,1,85223,37.2900,91616,40.0900,6393,2.8000
sub-10603,ses-01,doors,1,86150,37.7000,91808,40.1800,5658,2.4800
sub-10603,ses-01,socialdoors,1,85738,37.5200,92618,40.5300,6880,3.0100
sub-10606,ses-01,doors,1,86761,37.9700,92143,40.3200,5382,2.3500
sub-10606,ses-01,socialdoors,1,86668,37.9300,91901,40.2200,5233,2.2900
sub-10608,ses-01,doors,1,84034,36.7700,91047,39.8400,7013,3.0700
sub-10608,ses-01,socialdoors,1,83945,36.7400,90883,39.7700,6938,3.0300
sub-10617,ses-01,doors,1,89535,39.1800,93793,41.0500,4258,1.8700
sub-10617,ses-01,socialdoors,1,89175,39.0200,93737,41.0200,4562,2.0000
sub-10636,ses-01,socialdoors,1,89247,39.0600,88957,38.9300,-290,-.1300
sub-10638,ses-01,socialdoors,1,89699,39.2500,89822,39.3100,123,.0600
sub-10640,ses-01,doors,1,87675,38.3700,91953,40.2400,4278,1.8700
sub-10640,ses-01,socialdoors,1,88400,38.6800,92135,40.3200,3735,1.6400
sub-10641,ses-01,doors,1,86960,38.0500,91410,40.0000,4450,1.9500
sub-10641,ses-01,socialdoors,1,86523,37.8600,91393,39.9900,4870,2.1300
sub-10642,ses-01,doors,1,84977,37.1900,91268,39.9400,6291,2.7500
sub-10642,ses-01,socialdoors,1,85549,37.4400,91537,40.0600,5988,2.6200
sub-10644,ses-01,doors,1,85671,37.4900,92122,40.3100,6451,2.8200
